reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
294,"Ethanol, 2,2′-[[3- methyl-4-[(E)-(4- nitrophenyl)azo] phenyl]imino]bis-","Disperse Red 17",3179-89-3,221-665-5,"(a)Hair dye substance in oxidative hair dye products 
(b)Hair dye substance in non-oxidative hair dye products","(b) 0,2 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0 % 
For (a) and (b): 
—Do not use with nitrosating agents 
—Maximum nitrosamine content: 50 μg/kg 
— Keep in nitrite-free containetrs","(a)To be printed on the label: The mixing ratio. “Hair colorants can cause severe allergic reactions. 
Read and follow instructions. 
This product is not intended for use on persons under the age of 16.
Temporary “black henna” tattoos may increase your risk of allergy. 
Do not colour your hair if:
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experienced any reaction after colouring your hair, 
—you have experienced a reaction to a temporary “black henna” tattoo in the past.”’","(EU) 2015/1190",,,"Ethanol, 2,2′-[[3- methyl-4-[(E)-(4- nitrophenyl)azo] phenyl]imino]bis-",,,05/08/2015
295,"4-Amino-5-hydroxy-3-(4-nitrophenylazo)-6- (phenylazo)-2,7- naphthalenedisulfonic acid, disodium salt","Acid Black 1",1064-48-8,213-903-1,"Hair dye substance in non-oxidative hair dye products","0,5 %",,,"(EU) 2015/1190",,,"4-Amino-5-hydroxy-3-(4-nitrophenylazo)-6- (phenylazo)-2,7- naphthalenedisulfonic acid, disodium salt",,,05/08/2015
296,"Disodium 3-hydroxy-4-[(E)-(4- methyl-2-sulfonatophenyl)diazenyl]-2-naphthoate","Pigment Red 57",5858-81-1,227-497-9,"Hair dye substance in non-oxidative hair dye products","0,4 %",,,"(EU) 2015/1190",,,"Disodium 3-hydroxy-4-[(E)-(4- methyl-2-sulfonatophenyl)diazenyl]-2-naphthoate",,,05/08/2015
297,"2-(2-ethoxyethoxy)ethanol Diethylene Glycol Monoethyl Ether (DEGEE), Ethoxydiglycol",ETHOXYDIGLYCOL,111-90-0,203-919-7,"(a) Oxidative hair day products
(b) Non-oxidative hair dye products
(c) Rinse-off products other than hair dye products
(d) Other non-spray cosmetic products
(e) The following spray products: fine fragrances, hair sprays, antiperspirant and deodorant","(a) 7%
(b) 5%
(c) 10%
(d) 2,6%
(e)2,6%
","(a) to (e):
The level of ethylene glycol impurity in Ethoxydiglycol must be ≤ 0,1 %. 
Not to be used in eye products and oral products ",,"(EU) 2016/314",,,"2-(2-ethoxyethoxy)ethanol Diethylene Glycol Monoethyl Ether (DEGEE)",,,24/10/2018
298,"Di[2-[4-[(E)-2-[4- [bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1- ium] butanoyl]aminoethyl]di-sulfanyl dichloride","HC RED NO 17",1449471-67-3,-,"Hair dye substance in non-oxidative hair dye products ","As from 3 September 2017: 0,5 %","As from 3 September 2017:
— Do not use with nitrosating agents 
— Maximum nitrosamine content: 50 μg/kg 
— Keep in nitrite-free containers",,"(EU) 2017/237",,,"Di[2-[4-[(E)-2-[4- [bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1- ium] butanoyl]aminoethyl]di-sulfanyl dichloride",,,27/07/2020
299,"Di[2-[4-[(E)-2- [2,4,5-trimethoxyphenyl]vinyl]pyridinin-1-ium]butanoyl]aminoethyl]disulfanyl dichloride","HC YELLOW NO 17",1450801-55-4,-,"Hair dye substance in non-oxidative hair dye products","As from 3 September 2017: 0,5 %",,"As from 3 March 2018: “Hair colourants can cause severe allergic reac­tions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tat­toos may increase your risk of allergy. 

Do not colour your hair if:
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experi­enced any reaction after colouring your hair, 
— you have experienced a re­action to a temporary ‘black henna’ tattoo in the past.","(EU) 2017/237",,,"Di[2-[4-[(E)-2- [2,4,5-trimethoxyphenyl]vinyl]pyridinin-1-ium]butanoyl]aminoethyl]disulfanyl dichloride",,,27/07/2020
300,"1H-Pyrazole-4,5- diamine, 1-hexyl-, sulfate (2:1)","1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",1361000-03-4,-,"Hair dye substance in oxidative hair dye products",,"As from 3 September 2017, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","As from 3 March 2018, to be printed on the label: The mixing ratio. ‘Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. 

Temporary “black henna” tattoos may increase your risk of allergy. 

Do not colour your hair if:
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experienced any reaction after colouring your hair, 
— you have experienced a reaction to a temporary “black henna” tattoo in the past.'","(EU) 2017/237",,,"1H-Pyrazole-4,5- diamine, 1-hexyl-, sulfate (2:1)",,,27/07/2020
301,"4-Hydroxy-2,5,6- triaminopyrimidine sulfate","2,5,6-TRIAMINO- 4-PYRIMIDINOL SULFATE",1603-02-7,216-500-9,"Hair dye substance in oxidative hair dye products",,"As from 3 September 2017, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5 %","As from 3 March 2018, to be printed on the label: The mixing ratio. ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy.

Do not colour your hair if: 
— you have a rash on your face or sensitive, irritated and damaged scalp,
— you have ever experienced any reaction after colouring your hair, 
— you have experienced a reaction to a temporary “black henna” tattoo in the past.’","(EU) 2017/237",,,"4-Hydroxy-2,5,6- triaminopyrimidine sulfate",,,27/07/2020
302,"2-[(3-Aminopyrazolo[1,5-a]pyridin-2- yl)oxy]ethanol hydrochloride","HYDROXYETHOXY AMINOPYRAZOLOPYRIDINE HCL",1079221-49-0,695-745-7,"Hair dye substance in oxidative hair dye products",,"As from 3 September 2017, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0 %","As from 3 March 2018, to be printed on the label: The mixing ratio. ‘Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy.

Do not colour your hair if: 
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experienced any reaction after colouring your hair, 
— you have experienced a reaction to a temporary “black henna” tattoo in the past.’","(EU) 2017/237",,,"2-[(3-Aminopyrazolo[1,5-a]pyridin-2- yl)oxy]ethanol hydrochloride",,,27/07/2020
303,"Phenol, 3-amino-2,6- dimethyl","3-AMINO-2,6- DIMETHYLPHENOL",6994-64-5,230-268-6,"Hair dye substance in oxidative hair dye products",,"As from 3 September 2017, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0 %","As from 3 March 2018, to be printed on the label: The mixing ratio. ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy.

Do not colour your hair if: 
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experienced any reaction after colouring your hair, 
— you have experienced a reaction to a temporary “black henna” tattoo in the past.’","(EU) 2017/237",,,"Phenol, 3-amino-2,6- dimethyl",,,27/07/2020
304,"2-Naphthalenaminium, 8-[(4- amino-3-nitrophenyl)azo]-7-hydroxy- N,N,N-trimethyl-, chloride","BASIC BROWN 17",68391-32-2,269-944-0,"Hair dye substance in non-oxidative hair dye products","As from 3 September 2017: 2,0 %",,,"(EU) 2017/237",,,"2-Naphthalenaminium, 8-[(4- amino-3-nitrophenyl)azo]-7-hydroxy- N,N,N-trimethyl-, chloride",,,27/07/2020
305,"3-Amino-7- (dimethylamino)-2- methoxyphenoxazin- 5-ium chloride","BASIC BLUE 124",67846-56-4,267-370-5,"Hair dye substance in non-oxidative hair dye products","As from 3 September 2017: 0,5 %","As from 3 September 2017: — Do not use with nitrosating agents — Maximum nitrosamine content: 50 μg/kg — Keep in nitrite-free containers","As from 3 March 2018: ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy.

Do not colour your hair if: 
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experienced any reaction after colouring your hair, 
— you have experienced a reaction to a temporary “black henna” tattoo in the past’.","(EU) 2017/237",,,"3-Amino-7- (dimethylamino)-2- methoxyphenoxazin- 5-ium chloride",,,27/07/2020
306,"Peanut oil, extracts and derivatives","ARACHIS HYPOGAEA OIL; ARACHIS HYPOGAEA SEEDCOAT EXTRACT; ARACHIS HYPOGAEA FLOUR; ARACHIS HYPOGAEA FRUIT EXTRACT; ARACHIS HYPOGAEA SPROUT EXTRACT; HYDROGENATED PEANUT OIL; PEANUT ACID; PEANUT GLYCERIDES; PEANUT OIL PEG-6 ESTERS; PEANUTAMIDE MEA; PEANUTAMIDE MIPA; POTASSIUM PEANUTATE; SODIUM PEANUTAMPHOACETATE; SODIUM PEANUTATE; SULFATED PEANUT OIL","8002-03-7; 68425-36;  91051; 91744-77-3; 68440-49-3; 93572-05-5; 61789-56-8; 61789-57-9; 73138-79-1","232-296-4; 270-350-9; 293-087-1; 294-643-6; -; 297-433-2; 263-069-8; 263-070-3; 277-298-6",,,"Maximum concentration of peanut proteins: 0,5 ppm (22 )",,"(EU) 2017/2228",,,"Peanut oil, extracts and derivatives",,,27/07/2020
307,"Hydrolyzed wheat protein","HYDROLYZED WHEAT PROTEIN","94350-06-8 / 222400-28-4 / 70084-87-6 / 100209- 50-5","305-225-0/ -/ 309-358-5",,,"Maximum molecular weight average of the peptides in hydrolysates: 3,5 kDa (23 )",,"(EU) 2017/2228",,,"Hydrolyzed wheat protein",,,27/07/2020
308,"Tagetes minuta flower extract; Tagetes minuta flower oil",-,"91770-75-1; 91770-75-1/8016-84-0","294-862-7; 294-862-7","(a) Leave-on products
(b) Rinse-off products","(a) 0,01 %
(b) 0,1 %","For (a) and (b): Alpha terthienyl (terthiophen) content in the extract/oil ≤ 0,35 %.

For (a): Not to be used in sunscreen products and products marketed for exposure to natural/artificial UV light.

For (a) and (b): In case of combined use with Tagetes patula (entry 309), the total combined content of Tagetes in ready for use preparation shall not exceed the maximum concentration limits set out in column (g).",,"(EU) 2018/978",,,"Tagetes minuta flower extract

Tagetes minuta flower oil",,,27/07/2020
309,"Tagetes patula flower extract; Tagetes patula flower oil",-,"91722-29-1; 91722-29-1/8016-84-0","294-431-3; 294-431-3/-","(a) Leave-on products
(b) Rinse-off products","(a) 0,01 %
(b) 0,1 %","For (a) and (b): Alpha terthienyl (terthiophen) content in the extract/oil ≤ 0,35 %.

For (a): Not to be used in sunscreen products and products marketed for exposure to natural/artificial UV light.

For (a) and (b): In case of combined use with Tagetes minuta (entry 308), the total combined content of Tagetes in ready for use preparation shall not exceed the maximum concentration limits set out in column (g).",,"(EU) 2018/978",,,"Tagetes patula flower extract; Tagetes patula flower oil",,,27/07/2020
310,"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one",CLIMBAZOLE,38083-17-9;,253-775-4;,"Rinse-off anti-dandruff shampoo","2,0 %","For purposes other than inhibiting the development of micro-organisms in the product. This purpose has to be apparent from the presentation of the product.",,"(EU) 2019/698",,"Opinion concerning Restrictions on Materials listed in annex VI of Directive 76/768/EEC on Cosmetic Products,Opinion concerning Azole Antimycotic Resistance,Opinion on Climbazole,Opinion on Climbazole,ADDENDUM to the scientific Opinions on Climbazole (P64) ref. SCCS/1506/13 and SCCS/1590/17","1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one",,,28/07/2020
311,"Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide","TRIMETHYLBENZOYL DIPHENYLPHOSPHINE OXIDE",75980-60-8,278-355-8,"Artificial nail systems","5,0 %","Professional use","For professional use only

Avoid skin contact

Read directions for use carefully","(EU) 2019/831",,,"Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide","TRIMETHYLBENZOYL DIPHENYLPHOSPHINE OXIDE","Reprotoxic Cat. 2()",30/07/2020
312,2-Furaldehyde,FURFURAL,98-01-1,202-627-7,,"0,001 %",,,"(EU) 2019/831",,"Opinion on Furfural,Furfural",2-Furaldehyde,FURFURAL,"Carcinogenic Cat. 2()",26/11/2020
313,"2-Hydroxyethyl Methacrylate",HEMA,868-77-9,212-782-2,"Nail products",,"Professional use only","For professional use only.

Can cause an allergic reaction.","(EU) 2020/1682",,"OPINION ON the safety of cosmetic ingredients HEMA and Di-HEMA Trimethylhexyl Dicarbamate Submission I (Sensitisation only)","2-Hydroxyethyl Methacrylate*

*From 3 June 2021 products containing that substance and not complying with those conditions shall not be placed on the Union market. From 3 September 2021 products containing that substance and not complying with those conditions shall not be made available on the Union market",HEMA,,24/11/2020
314,"11,14-Dioxa-2,9-diazaheptadec-16-enoic Acid, 4,4,6,16-tetramethyl-10,15-dioxo, 2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl ester","DI-HEMA TRIMETHYLHEXYL DICARBAMATE","41137-60-4 / 72869-86-4","255-239-5 / 276-957-5","Nail products",,"Professional use only","For professional use only.

Can cause an allergic reaction.","(EU) 2020/1682",,"OPINION ON the safety of cosmetic ingredients HEMA and Di-HEMA Trimethylhexyl Dicarbamate Submission I (Sensitisation only)","11,14-Dioxa-2,9-diazaheptadec-16-enoic Acid, 4,4,6,16-tetramethyl-10,15-dioxo, 2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl ester*

*From 3 June 2021 products containing that substance and not complying with those conditions shall not be placed on the Union market. From 3 September 2021 products containing that substance and not complying with those conditions shall not be made available on the Union market.","DI-HEMA TRIMETHYLHEXYL DICARBAMATE",,24/11/2020
315,"4-(3-aminopyrazolo[1,5-A]pyridin-2-yl)-1,1-dimethylpiperazin-1-ium chloride hydrochloride","DIMETHYLPIPERAZINIUM AMINOPYRAZOLOPYRIDINE HCL",1256553-33-9,813-255-5,"Hair dye substance in oxidative hair dye products.",,"As from 3 June 2021, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % (calculated as free base).","As from 3 December 2021, to be printed on the label: The mixing ratio.

‘! Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy.

Do not colour your hair if:

— you have a rash on your face or sensitive, irritated and damaged scalp,

— you have ever experienced any reaction after colouring your hair,

— you have experienced a reaction to a temporary “black henna” tattoo in the past.’","(EU) 2020/1683",,"OPINION ON Dimethylpiperazinium Aminopyrazolopyridine HCl (A164)","4-(3-aminopyrazolo[1,5-A]pyridin-2-yl)-1,1-dimethylpiperazin-1-ium chloride hydrochloride","DIMETHYLPIPERAZINIUM AMINOPYRAZOLOPYRIDINE HCL",,24/11/2020
316,"1-(3-((4-Aminophenyl)amino)propyl)-3-methyl-1H-imidazol-3-ium chloride hydrochloride","METHYLIMIDAZOLIUMPROPYL P-PHENYLENEDIAMINE HCL",220158-86-1,-,"Hair dye substance in oxidative hair dye products.",,"As from 3 June 2021, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % (calculated as free base).","As from 3 December 2021, to be printed on the label:

The mixing ratio.

‘! Hair colorants can cause severe allergic reactions.

Read and follow instructions.

This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy.

Do not colour your hair if:

— you have a rash on your face or sensitive, irritated and damaged scalp,

— you have ever experienced any reaction after colouring your hair,

— you have experienced a reaction to a temporary “black henna” tattoo in the past.’","(EU) 2020/1683",,"OPINION ON Hair dyeMethylimidazoliumpropyl p-phenylenediamine HCl (A166) (CAS 220158-86-1) Submission I","1-(3-((4-Aminophenyl)amino)propyl)-3-methyl-1H-imidazol-3-ium chloride hydrochloride","METHYLIMIDAZOLIUMPROPYL P-PHENYLENEDIAMINE HCL",,24/11/2020
317,"Di-[2-[(E)-2-[4-[bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1-ium]-ethyl]disulphide dimethanesulfonate","HC Orange No. 6",1449653-83-1,-,"Hair dye substance in non-oxidative hair dye products","As from 3 June 2021: 0,5 %","Methanesulfonates impurities, in particular ethyl methanesulfonate shall not be present.",,"(EU) 2020/1683",,"OPINION ON HC Orange No. 6 (B125)","Di-[2-[(E)-2-[4-[bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1-ium]-ethyl]disulphide dimethanesulfonate","HC ORANGE NO. 6",,24/11/2020
318,"Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzene sulfonate","ACID ORANGE 7",633-96-5,211-199-0,"Hair dye substance in non-oxidative hair dye products.","As from 3 June 2021: 0,5 %.",,,"(EU) 2020/1683",,"Opinion on Acid Orange 7,Opinion on Acid Orange 7,Opinion on Acid Orange 7","Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzene sulfonate","ACID ORANGE 7",,24/11/2020
319,"Phenol, 4,4'-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-","TETRABROMOPHENOL BLUE",4430-25-5,224-622-9,"(a) Hair dye substance in oxidative hair dye products

(b) Hair dye substance in non-oxidative hair dye products","(b) As from 3 June 2021: 0,2 %","(a) As from 3 June 2021, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,2 % (calculated as free base).","(a) As from 3 December 2021, to be printed on the label:

The mixing ratio.

‘Image 5 Hair colorants can cause severe allergic reactions.

Read and follow instructions.

This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy.

Do not colour your hair if:

— you have a rash on your face or sensitive, irritated and damaged scalp,

— you have ever experienced any reaction after colouring your hair,

— you have experienced a reaction to a temporary “black henna” tattoo in the past.’","(EU) 2020/1683",,"Opinion concerning Tetrabromophenol Blue,OPINION ON Tetrabromophenol Blue, 4,4’-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-yliden)bis-2,6-dibromophenol (C183),OPINION ON Tetrabromophenol Blue, 4,4’-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-yliden)bis-2,6-dibromophenol (C183)","Phenol, 4,4'-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-","TETRABROMOPHENOL BLUE",,24/11/2020
320,"Indigofera tinctoria, dried and pulverised leaves of Indigofera tinctoria L","INDIGOFERA TINCTORIA LEAF; INDIGOFERA TINCTORIA LEAF POWDER; INDIGOFERA TINCTORIA LEAF EXTRACT; INDIGOFERA TINCTORIA EXTRACT",84775-63-3,283-892-6,"Hair dye substance in non-oxidative hair dye products.","As from 3 June 2021: 25 %.",,,"(EU) 2020/1683",,"Opinion on Indigofera Tinctoria,Opinion on Indigofera tinctoria,Opinion on Indigofera tinctoria,OPINION ON hair dye Indigofera tinctoria (C170)  CAS 84775-63-3 Submission III","Indigofera tinctoria, dried and pulverised leaves of Indigofera tinctoria L ","INDIGOFERA TINCTORIA EXTRACT,INDIGOFERA TINCTORIA LEAF,INDIGOFERA TINCTORIA LEAF EXTRACT,INDIGOFERA TINCTORIA LEAF POWDER",,24/11/2020
321,"Titanium dioxide in powder form containing 1 % or more of particles with aerodynamic diameter ≤ 10 μm","TITANIUM DIOXIDE","13463-67-7/ 1317-70-0/ 1317-80-2","236-675-5/ 215-280-1/ 215-282-2","(a) face  products in  loose powder form

(b) hair aerosol spray pro­ducts

(c) other products","(a) 25 %;

(b) 1,4 % for general consu­mers, and 1.1 % for  pro­fessional use.","a) (b) Only in the pigmentary form

(c) Not to be used in applications that may lead to exposure of the end-user’s lungs by inhalation",,"(EU) 2021/850",,"Titanium dioxide (TiO2) used in cosmetic products that lead to exposure by inhalation.","Titanium Dioxide",,,23/03/2022
322,"1,3-Dihydroxy-2-propanone",DIHYDROXYACETONE,96-26-4,202-494-5,"(a) Hair dye substance in non-oxidative hair dye products (*)

(b) Self-tanning products (*)

(*) From 26 January 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 22 April 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be made available on the Union market","(a) 6,25 %

(b) 10 %",,,"(EU) 2021/1099",,"Opinion on Dihydroxyacetone (DHA),OPINION ON Dihydroxyacetone -DHA (1,3-Dihydroxy-2-propanone) CAS No. 96-26-4","1,3-Dihydroxy-2-propanone",,,18/10/2021
323,Methyl-N-methylanthranilate,"METHYL N-METHYLANTHRANILATE",85-91-6,201-642-6,"(a) Leave-on products
(b) Rinse-off products","(a) 0,1 %
(b) 0,2 %","For (a): Not to be used in sunscreen products and products marketed for exposure to natural or artificial UV light.

For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine content: 50 μg/kg
— Keep in nitrite-free containers",,"(EU) 2022/135",,"Opinion on Methyl-N-methylanthranilate (photo-toxicity only),Methyl-N-methylanthranilate
Phototoxicity only,Scientific Advice on the SCCS Opinion on methyl-N-methylanthranilate (MNM)(SCCS/1455/11).","Methyl-N-methylanthranilate (*)


(*) 'From 21 August 2022 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 21 November 2022 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market'","METHYL N-METHYLANTHRANILATE",,27/07/2022
324,"Methyl 2-hydroxybenzoate","METHYL SALICYLATE",119-36-8,204-317-7,"(a) Leave-on skin products (except face makeup, spray/aerosol body lotion, spray/aerosol deodorant and hydroalcoholic-based fragrances) and leave on hair products (except spray/aerosol products) 

(b) Face makeup (except lip products, eye makeup and makeup remover)

(c) Eye makeup and makeup remover 

(d) Leave-on hair products (spray/aerosol)

(e) Deodorant spray/aerosol

(f) Body lotion spray/aerosol

(g) Rinse-off skin  products (except hand wash) and rinse-off hair products 

(h) Hand wash 

(i) Hydroalcoholic-based fragrances 

(j) Lip products 

(k) Toothpaste 

(l) Mouthwash intended for children aged 6–10 years

(m) Mouthwash intended for children above 10 years of age and adults

(n) Mouth spray","(a) 0,06 %

(b) 0,05 %

(c) 0,002 %

(d) 0,009 %

(e) 0,003 %

(f) 0,04 %

(g) 0,06 %

(h) 0,6 % 

(i) 0,6 %

(j) 0,03 %

(k) 2,52 %

(l) 0,1 %

(m) 0,6 %

(n) 0,65 %","Not to be used in preparations for children under 6 years of age, with the exception of (k) “Toothpaste”. The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,"Methyl 2-hydroxybenzoate","METHYL SALICYLATE","Reprotoxic Cat. 2()",11/09/2023
325,"2,6-Di-Tert-Butyl-4-Methylphenol","Butylated Hydroxytoluene",128-37-0,204-881-4,"a) Mouthwash

b) Toothpaste

c) Other leave-on and rinse-off products","a) 0,001 %

b) 0,1 %

c) 0,8 %","From 1 July 2023 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 January 2024 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.",,"(EU) 2022/2195 ",,,"2,6-Di-Tert-Butyl-4-Methylphenol",BHT,,11/11/2022
326,"1H-Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated, sodium salts (CI 47005)","Acid Yellow 3",8004-92-0,305-897-5,"Non-oxidative hair dye products","0,5 %","From 1 July 2023 non-oxidative hair dye products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 January 2024 non-oxidative hair dye products containing that substance and not complying with the restrictions shall not be made available on the Union market.

For use as a colorant, see Annex IV, entry No 82.",,"(EU) 2022/2195 ",,"Opinion on Acid Yellow 3,OPINION on Acid Yellow 3 –C054(CAS No. 8004-92-0, EC. No 305-897-5)Submission II","1H-Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated, sodium salts (CI 47005)","CI 47005",,11/11/2022
327,"[3R-(3α,3aβ,7β,8aα)]- 1-(2,3,4,7,8,8a- hexahydro-3,6,8,8-tetramethyl- 1H-3a,7-methanoazulen-5-yl)ethan- 1-one","Acetyl Cedrene",32388-55-9,251-020-3,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"Acetyl Cedrene",,03/10/2023
328,"Pentyl-2-hydroxy- benzoate","Amyl Salicylate",2050-08-0,218-080-2,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"AMYL SALICYLATE",,03/10/2023
329,"1-Methoxy-4-(1E)- 1-propen-1-yl- benzene (trans- Anethole)",Anethole,"104-46-1/ 4180-23-8","203-205-5/ 224-052-0",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,ANETHOLE,,03/10/2023
330,Benzaldehyde,Benzaldehyde,100-52-7,202-860-4,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,,,14/09/2023
331,"Bornan-2-one; 1,7,7-Trimethylbi- cyclo[2.2.1]- 2-heptanone",Camphor,"76-22-2/ 21368-68-3/ 464-49-3/ 464-48-2","200-945-0/ 244-350-4/ 207-355-2/ 207-354-7",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,CAMPHOR,,14/09/2023
332,"(1R,4E,9S)-4,11,11-- Trimethyl- 8-methylenebicyclo [7.2.0]undec- 4-ene","Beta- Caryophyllene",87-44-5,201-746-1,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,beta-CARYOPHYLLENE,,03/10/2023
